latitude,housing_median_age,population,households,median_income,ocean_proximity,median_house_value,all_rooms_amount
36.75,35,1676,481,1.6548,INLAND,49400,2873
36.74,52,1194,444,1.3029,INLAND,69100,2585
36.74,50,811,281,1.8667,INLAND,62800,1605
36.74,51,729,252,3.3125,INLAND,70100,1689
36.75,44,1680,418,1.7083,INLAND,48300,2230
36.75,39,2031,491,1.8641,INLAND,50800,2796
36.75,47,1042,397,2.9545,INLAND,59600,2654
36.74,39,4749,1067,1.2065,INLAND,55600,6103
36.74,39,1098,347,1.8958,INLAND,51300,2091
36.75,50,852,297,1.9955,INLAND,54200,1809
36.75,49,1290,477,2.5111,INLAND,55400,2791
36.76,42,1621,438,1.7994,INLAND,58700,2563
36.76,36,842,219,1.4766,INLAND,52800,1128
36.76,29,1887,489,1.4107,INLAND,59800,2601
36.76,32,2002,470,1.3278,INLAND,44500,2569
36.75,11,2190,888,2.6611,INLAND,74700,5825
36.76,30,886,311,3.1,INLAND,71300,1830
36.75,27,869,337,3.9514,INLAND,86900,1973
36.74,14,5561,1435,1.6073,INLAND,64700,7753
36.75,39,901,303,3.1719,INLAND,67900,2066
36.75,11,1819,731,2.4956,INLAND,87500,4405
36.74,18,4476,1514,2.4728,INLAND,88300,9769
36.76,28,1392,521,2.3108,INLAND,72000,3202
36.8,34,888,314,3.8088,INLAND,87700,2071
36.79,34,966,355,3.6681,INLAND,82000,2214
36.77,11,2487,1243,2.1461,INLAND,75900,6496
36.8,15,1197,510,3.1417,INLAND,74600,2914
36.8,16,1338,518,2.1653,INLAND,78800,2922
36.8,15,1340,588,3.1953,INLAND,85700,3734
36.8,17,1259,367,3.9338,INLAND,84700,2422
36.8,17,861,293,3.25,INLAND,81400,1682
36.81,9,662,284,2.0536,INLAND,55000,1412
36.8,31,1186,360,2.6932,INLAND,66400,2067
36.8,25,646,166,3,INLAND,72800,1031
36.8,23,1047,450,2.625,INLAND,71500,2570
36.8,24,781,260,3.7578,INLAND,69200,1565
36.81,15,1194,482,2.6767,INLAND,87500,2739
36.77,24,2362,862,2.9406,INLAND,73000,5349
36.77,30,1375,518,2.5737,INLAND,76900,2909
36.77,32,1005,392,2.6726,INLAND,70400,2361
36.78,35,474,242,2.4405,INLAND,74300,1349
36.78,33,508,198,2.3333,INLAND,81300,1342
36.78,27,2254,882,2.2467,INLAND,70700,4996
36.77,36,1227,474,2.785,INLAND,72300,2973
36.77,38,2142,816,2.1439,INLAND,60200,4618
36.77,38,1441,625,2.0564,INLAND,64700,3723
36.78,36,1994,786,2.5434,INLAND,67300,4395
36.78,40,609,296,1.9375,INLAND,67700,1695
36.77,29,2669,655,1.2176,INLAND,61900,3259
36.77,45,666,240,2.3562,INLAND,58100,1571
36.78,37,1143,438,1.9784,INLAND,70700,2640
36.77,30,1000,397,2.0357,INLAND,60200,2020
36.77,52,1114,486,3.8105,INLAND,87600,3476
36.78,50,737,338,2.2614,INLAND,73000,2192
36.78,41,1129,415,2.319,INLAND,59100,2689
36.77,43,1144,471,2.3967,INLAND,58700,2825
36.78,52,839,367,3.5972,INLAND,89900,2652
36.77,49,705,300,3.15,INLAND,72200,2063
36.77,48,741,331,2.5804,INLAND,78900,2134
36.77,43,890,375,3.4265,INLAND,85000,2736
36.78,37,796,335,3.625,INLAND,83400,2329
36.78,36,812,282,2.6127,INLAND,69600,1659
36.77,41,646,296,3.0568,INLAND,71300,1715
36.77,36,1117,442,2.9081,INLAND,65600,2720
36.77,32,1705,570,2.4286,INLAND,68100,3482
36.77,23,1190,425,2.625,INLAND,71600,2671
36.78,30,1660,639,2.8359,INLAND,80300,3802
36.79,8,1718,551,3.6522,INLAND,80200,3423
36.79,7,1014,389,3.0938,INLAND,76700,2351
36.79,5,2179,694,3.7821,INLAND,80400,4526
36.78,4,3406,1115,3.4213,INLAND,84500,7216
36.78,8,1454,545,2.7857,INLAND,79700,3780
36.78,7,1274,499,2.9853,INLAND,74700,2722
36.77,9,620,283,2.0446,INLAND,81300,1456
36.77,27,847,295,2.9315,INLAND,83200,1854
36.76,10,845,354,1.8214,INLAND,80100,2517
36.75,24,608,240,2.8194,INLAND,81100,1388
36.76,34,919,316,2.875,INLAND,74500,1972
36.79,22,1066,319,3.3125,INLAND,106100,2302
36.76,17,1152,313,4.1719,INLAND,126400,2322
36.77,18,702,230,3.6204,INLAND,119800,1665
36.79,38,928,255,2.9808,INLAND,89600,1731
36.77,20,1093,302,2.3194,INLAND,90600,2093
36.66,19,1341,360,1.7,INLAND,69000,2436
36.74,26,896,260,3.4861,INLAND,112500,1704
36.7,33,1168,358,2.6852,INLAND,70800,2272
36.74,14,2298,721,1.6168,INLAND,71800,3912
36.72,24,1559,374,1.8299,INLAND,57800,2383
36.72,22,820,276,3.6,INLAND,83200,1590
36.72,32,736,249,1.8,INLAND,60400,1218
36.74,19,1295,441,3.087,INLAND,88200,3129
36.8,30,620,199,3.4297,INLAND,112500,1447
36.8,45,598,214,3.2813,INLAND,105400,1512
36.8,25,1050,245,2.1618,INLAND,55300,1525
36.79,48,671,208,2.7917,INLAND,82800,1580
36.83,29,1072,345,3.8056,INLAND,165400,2571
36.81,30,1435,425,1.3221,INLAND,61200,2762
36.85,8,1111,393,7.5,INLAND,256200,2952
36.83,4,2088,789,5.1781,INLAND,122500,5617
36.83,15,1080,356,6.7181,INLAND,160300,2898
36.83,11,1101,405,4.8036,INLAND,141600,2924
36.82,12,675,223,4.7622,INLAND,89300,1741
36.82,9,1691,712,3.3239,INLAND,91300,4773
36.82,15,638,195,5.5842,INLAND,88900,1623
36.82,16,887,286,5.5405,INLAND,119300,2126
36.83,2,1730,654,4.2132,INLAND,96500,4790
36.81,4,1804,837,3.3942,INLAND,72100,5600
36.81,6,969,330,4.6726,INLAND,107800,2232
36.81,15,1011,325,3.755,INLAND,68000,2053
36.8,14,1031,311,3.6563,INLAND,88800,2200
36.8,14,2300,867,2.9565,INLAND,73000,5091
36.8,18,1196,466,2.5595,INLAND,67900,3052
36.85,8,1424,475,10.5144,INLAND,345900,4278
36.84,12,840,305,8.9669,INLAND,213900,2576
36.84,12,863,258,8.7716,INLAND,229200,2686
36.83,17,700,263,6.8645,INLAND,195900,2571
36.83,14,1128,363,6.9903,INLAND,141200,2692
36.83,14,1408,423,5.3241,INLAND,123000,3394
36.83,17,987,362,7.4201,INLAND,229700,3420
36.83,16,1016,379,6.1175,INLAND,144700,3244
36.82,17,996,353,5.5357,INLAND,167700,3183
36.82,14,365,176,7.2909,INLAND,155600,1252
36.82,28,752,330,5.2809,INLAND,151500,2604
36.81,25,1149,500,5.0698,INLAND,150900,3856
36.81,18,937,364,7.7062,INLAND,188300,3167
36.86,10,1200,363,8.3608,INLAND,187300,3265
36.86,7,1843,562,8.2737,INLAND,193500,4683
36.85,8,711,248,5.9897,INLAND,123600,1753
36.84,15,848,277,5.3886,INLAND,125300,2186
36.84,15,891,378,3.2569,INLAND,124400,2470
36.84,7,2014,909,3.2147,INLAND,111900,5982
36.85,12,292,164,2.8274,INLAND,79500,948
36.86,8,1604,626,4.2071,INLAND,128300,4143
36.85,11,1765,539,1.9511,INLAND,54000,3215
36.84,22,1543,395,1.7926,INLAND,51700,1904
36.86,7,2733,1045,3.7656,INLAND,145000,7635
36.85,17,1174,396,4.2304,INLAND,94400,2710
36.84,7,1077,354,5.4868,INLAND,158800,2631
36.84,9,860,520,3.3229,INLAND,119300,2884
36.83,19,2325,1109,4.049,INLAND,126000,7989
36.83,10,2712,883,5.6445,INLAND,135500,6702
36.83,11,1328,604,2.3667,INLAND,69300,3417
36.82,25,1215,467,3.2143,INLAND,93000,2792
36.83,17,709,258,4.3315,INLAND,95800,1821
36.83,15,1232,627,2.2215,INLAND,72200,4050
36.82,23,1852,802,3.4167,INLAND,105200,5177
36.82,22,1929,971,1.7708,INLAND,53500,5388
36.82,24,2010,982,3.4542,INLAND,121200,6382
36.81,33,1324,561,5.4513,INLAND,143300,4566
36.8,43,725,308,6.3359,INLAND,169300,2239
36.8,38,777,314,6.1575,INLAND,160100,2577
36.8,24,1586,739,3.8571,INLAND,90100,4437
36.8,33,528,250,2.9471,INLAND,99500,1926
36.8,29,1242,540,3.5958,INLAND,88800,3358
36.8,16,3407,1134,3.125,INLAND,80800,7301
36.8,16,1508,478,3.4074,INLAND,72700,3355
36.8,19,1463,710,2.0469,INLAND,66900,4020
36.79,35,1054,369,3.3272,INLAND,65600,2235
36.78,35,933,357,2.5223,INLAND,66200,2146
36.78,24,2764,773,1.3385,INLAND,58800,4037
36.79,21,1820,614,3.3447,INLAND,71400,3883
36.79,24,2098,774,1.9575,INLAND,67000,4324
36.78,35,633,240,2.0324,INLAND,55500,1257
36.78,36,660,298,3,INLAND,79700,1963
36.78,36,761,318,2.6055,INLAND,69200,1895
36.79,35,709,294,2.6522,INLAND,65900,1765
36.79,18,3415,1224,1.6854,INLAND,64700,7261
36.79,35,954,457,2.9506,INLAND,73800,2757
36.79,33,1806,783,1.9386,INLAND,67500,4218
36.78,38,1131,408,2.03,INLAND,58800,2368
36.78,43,874,380,3.5542,INLAND,96500,2813
36.79,39,1118,431,2.4167,INLAND,71900,2931
36.79,45,471,187,5.187,INLAND,153800,1524
36.81,35,1155,353,3.069,INLAND,69600,2205
36.8,34,1243,431,1.8514,INLAND,66500,2693
36.8,27,852,449,3.32,INLAND,124700,2946
36.81,33,494,254,4.25,INLAND,132200,1722
36.79,34,1141,470,3.2642,INLAND,89600,3139
36.78,31,959,463,2.3293,INLAND,73400,2620
36.79,26,909,386,2.256,INLAND,64500,2123
36.79,19,960,386,1.5122,INLAND,47500,1972
36.79,33,966,413,2.9301,INLAND,68300,2700
36.79,26,1976,830,2.1544,INLAND,72800,4491
36.78,30,2768,1224,2.1383,INLAND,78800,7447
36.79,27,1076,423,2.9937,INLAND,81100,2685
36.79,32,1261,486,3.3281,INLAND,75100,2931
36.79,28,1614,592,2.1573,INLAND,71400,3476
36.78,28,1981,712,2.293,INLAND,71700,4009
36.8,29,1781,616,2.5893,INLAND,70900,4156
36.8,32,1507,649,2.9244,INLAND,84600,4126
36.8,34,1938,647,2.8994,INLAND,66000,4049
36.8,20,2795,1267,2.2094,INLAND,83700,7603
36.8,24,1827,719,2.7222,INLAND,83100,4518
36.8,18,5466,2209,2.4678,INLAND,74300,13263
36.8,25,1257,465,2.3333,INLAND,90600,3222
36.8,30,1894,648,2.197,INLAND,74500,3970
36.81,19,4638,1335,1.2716,INLAND,69400,6072
36.81,25,661,275,3.4279,INLAND,84700,1836
36.82,17,3056,1453,2.3375,INLAND,99300,8418
36.81,28,663,282,3.567,INLAND,85500,2015
36.83,18,1817,681,4.2153,INLAND,95200,4905
36.83,22,1234,457,4.5179,INLAND,99600,3241
36.83,20,1360,463,5.2595,INLAND,110900,3660
36.83,19,1378,510,4.7804,INLAND,101100,3744
36.83,16,1034,359,5.0635,INLAND,108500,2715
36.83,17,1888,601,4.0196,INLAND,84200,4318
36.83,15,1411,441,4.9292,INLAND,109400,3229
36.83,14,2235,787,4.1098,INLAND,108200,5504
36.91,3,2878,1077,5.3272,INLAND,174200,8663
36.87,3,5226,1972,5.0941,INLAND,143700,16046
36.85,3,4432,1778,3.9032,INLAND,140800,12546
36.94,15,649,265,2.4861,INLAND,86300,1726
36.88,17,992,312,6.9405,INLAND,165200,2551
36.86,20,786,240,4,INLAND,164600,1939
36.85,20,1081,379,4.5398,INLAND,143100,3087
36.89,15,1280,386,5.308,INLAND,167500,2737
36.83,23,1885,758,2.5904,INLAND,71400,4288
36.82,25,1482,484,2.3173,INLAND,68200,2919
36.81,32,1570,492,2.7159,INLAND,68000,3151
36.83,5,623,362,1.8061,INLAND,113400,1425
36.83,15,1228,436,3.5078,INLAND,109000,3227
36.83,14,1584,493,5.0828,INLAND,111400,3839
36.82,12,1320,566,2.3381,INLAND,112500,2712
36.81,19,1034,500,1.6618,INLAND,69700,2832
36.81,19,557,354,1.7969,INLAND,72800,2016
36.81,28,780,309,2.9453,INLAND,72200,1956
36.81,19,994,368,2.7778,INLAND,79700,2055
36.82,16,1054,623,1.9483,INLAND,112500,3240
36.82,15,550,246,2.2639,INLAND,52500,1185
36.83,7,1040,362,3.9943,INLAND,100200,2428
36.83,8,475,155,4.9327,INLAND,89500,1132
36.83,28,898,329,3.1814,INLAND,78900,2218
36.83,3,1003,340,4.4356,INLAND,111300,2365
36.83,4,1024,308,5.0864,INLAND,113700,2479
36.83,11,1110,339,6.1133,INLAND,120000,2799
36.82,2,1133,342,4.5577,INLAND,123300,2955
36.81,4,622,199,4.9432,INLAND,114400,1478
36.81,13,1356,435,5.0253,INLAND,106200,3002
36.82,17,1207,384,1.8021,INLAND,55900,2330
36.82,15,1687,505,4.81,INLAND,93600,3815
36.81,16,1536,457,3.9792,INLAND,88900,3122
36.81,13,994,370,2.5446,INLAND,93800,1890
36.81,15,1634,501,4.4934,INLAND,88000,3388
36.8,7,1748,498,4.2066,INLAND,88400,3373
36.8,31,1306,418,3.2813,INLAND,68700,3034
36.8,9,1632,474,6.011,INLAND,163100,4220
36.79,13,993,314,3.7697,INLAND,83600,2049
36.79,15,1207,424,2.7404,INLAND,76300,2975
36.77,22,1720,417,2.6875,INLAND,60600,2952
36.79,5,1490,481,4.0993,INLAND,83000,3089
36.77,21,583,205,6.0132,INLAND,150800,1442
36.85,15,1258,347,4.9904,INLAND,157300,2750
36.82,14,2085,617,5.6739,INLAND,173800,5528
36.79,19,517,187,4.526,INLAND,148700,1506
36.76,22,1795,613,4.925,INLAND,154700,4740
36.7,42,617,222,3.0833,INLAND,133300,1553
36.78,20,1372,455,4.5625,INLAND,136900,3301
36.83,13,2473,774,5.4895,INLAND,156700,6998
36.77,19,1760,542,4.0227,INLAND,126500,3773
36.72,18,621,190,4.5375,INLAND,130600,1477
36.74,20,531,212,4.5938,INLAND,106900,1297
36.72,11,1248,445,3.6161,INLAND,99500,2970
36.71,29,1208,398,2.5741,INLAND,73000,2355
36.71,37,1173,344,2.181,INLAND,59900,1983
36.71,10,958,380,2.6458,INLAND,84800,2016
36.7,34,899,337,2.6823,INLAND,72900,2113
36.7,40,1135,315,2.1182,INLAND,58900,1521
36.7,31,1371,347,2.3687,INLAND,63900,2043
36.7,30,1248,410,3.1442,INLAND,72300,2782
36.7,7,974,308,3.7261,INLAND,83900,2070
36.69,42,812,225,1.9766,INLAND,58100,1247
36.69,21,1519,406,1.7132,INLAND,55900,1974
36.7,20,1665,357,2.2448,INLAND,58900,2190
36.71,32,2052,518,1.9076,INLAND,55800,2471
36.72,6,1135,218,2.1515,INLAND,63900,1420
36.71,21,1120,314,2.59,INLAND,69300,2155
36.69,19,1578,542,3.2917,INLAND,160100,3940
36.68,18,945,292,3.4044,INLAND,115300,2134
36.63,25,904,303,3.625,INLAND,107600,2096
36.64,38,578,187,2.3618,INLAND,80000,1139
36.59,37,977,290,3.5074,INLAND,93800,1782
37.1,24,1564,507,2.3359,INLAND,92400,3087
36.94,14,315,135,4.2679,INLAND,151800,1014
37.02,16,2140,722,3.332,INLAND,111800,4993
37,16,1467,509,3.1736,INLAND,111800,3455
36.91,12,1184,429,3.9141,INLAND,123900,3475
36.89,15,755,294,2,INLAND,83300,2290
37.25,44,335,115,4.1838,INLAND,85600,3739
37.13,12,1006,334,4.1563,INLAND,94000,2727
37.09,22,773,288,3.3269,INLAND,102700,2688
37.12,23,64,37,3.875,INLAND,125000,2261
37.11,34,171,73,3.0729,INLAND,144600,2295
37.06,15,276,107,5.1314,INLAND,179200,3762
36.79,19,187,80,3.7857,INLAND,78600,1940
36.8,17,975,340,2.6902,INLAND,94400,2457
36.71,13,1385,512,2.2202,INLAND,100000,3392
36.69,13,1905,671,2.2278,INLAND,90500,4775
36.62,26,1148,332,2.6058,INLAND,92200,2261
36.63,26,1834,432,1.6486,INLAND,55200,2290
36.62,33,1544,329,1.7292,INLAND,52000,1859
36.62,15,1070,243,1.5642,INLAND,51500,1326
36.62,25,947,244,1.4481,INLAND,51700,1061
36.61,19,1296,298,2.4219,INLAND,65800,1780
36.6,5,2505,573,2.2863,INLAND,69200,2961
36.6,34,579,171,2.0417,INLAND,72500,1048
36.6,42,247,99,2.5,INLAND,73000,598
36.61,13,719,246,3.625,INLAND,108300,1606
36.61,17,775,246,3.9073,INLAND,91600,1811
36.59,15,1266,309,1.767,INLAND,63300,1677
36.59,32,761,241,2.825,INLAND,67600,1389
36.6,36,1430,454,1.8975,INLAND,60900,2783
36.59,28,1331,305,1.516,INLAND,56700,1673
36.6,18,754,229,3.9844,INLAND,118100,1630
36.59,41,1171,314,1.6875,INLAND,66100,2091
36.58,18,753,266,3.7813,INLAND,87300,1705
36.59,28,572,202,3.825,INLAND,84200,1489
36.6,18,1638,436,2.309,INLAND,57100,2827
36.61,20,1474,326,1.4937,INLAND,54700,1808
36.61,14,3535,735,1.586,INLAND,56900,3797
36.62,34,1018,265,2.2206,INLAND,63400,1707
36.58,21,867,380,1.9913,INLAND,95300,2516
36.61,33,1065,248,1.8958,INLAND,55100,1500
36.61,33,730,162,1.5625,INLAND,55800,757
36.66,27,1056,284,1.6094,INLAND,55200,1684
36.64,27,798,200,3.0521,INLAND,113800,994
36.65,43,1056,276,2.5562,INLAND,93200,1996
36.6,33,1102,307,1.9676,INLAND,62400,1883
36.58,13,1652,411,2.6858,INLAND,62400,2193
36.57,19,911,281,3.5987,INLAND,131700,2036
36.58,28,919,308,2.8287,INLAND,73100,1752
36.58,29,788,271,2.6974,INLAND,73000,1592
36.59,17,1330,393,4.0197,INLAND,88000,2677
36.59,10,1443,576,2.2727,INLAND,92700,3462
36.57,42,1347,436,2.5556,INLAND,69700,2750
36.57,33,1205,389,1.8333,INLAND,68300,2326
36.57,42,1359,483,1.5833,INLAND,65100,2763
36.58,22,1127,359,1.2647,INLAND,55300,2229
36.56,36,737,186,1.4415,INLAND,54400,906
36.56,34,363,97,2.0658,INLAND,92500,693
36.56,34,1886,481,1.625,INLAND,53000,2408
36.56,30,1467,403,1.8878,INLAND,51600,2094
36.55,34,1041,313,3.2917,INLAND,111500,2408
36.52,16,1106,372,4.2045,INLAND,120900,3118
36.51,46,971,403,2.2132,INLAND,76600,2279
36.51,37,663,204,1.6635,INLAND,67000,1231
36.51,9,2157,770,2.5033,INLAND,70100,4669
36.52,31,1042,422,3.0294,INLAND,70200,2403
36.53,19,1670,518,3.2019,INLAND,95700,3241
36.56,32,1038,272,3.0469,INLAND,82700,1785
36.57,32,868,276,2.1908,INLAND,110000,1896
36.51,30,966,282,3.1333,INLAND,100000,1990
36.52,35,674,178,3.3214,INLAND,101600,1182
36.52,20,1466,289,2.5921,INLAND,94200,2072
36.44,26,802,259,3.2083,INLAND,75000,2016
36.46,29,914,280,2.8125,INLAND,79200,2003
36.43,29,1278,387,1.7813,INLAND,57900,2155
36.54,34,818,269,2.4044,INLAND,72500,1657
36.55,32,999,245,2.0216,INLAND,76800,1669
36.51,31,767,226,2.7321,INLAND,83600,1495
36.54,19,702,217,2.4375,INLAND,78200,1551
36.54,31,979,294,2.5208,INLAND,60000,2064
36.64,34,716,222,2.975,INLAND,90000,1659
36.57,17,1425,247,2.0313,INLAND,69400,1805
36.58,20,1319,359,2.4814,INLAND,74600,2298
36.6,24,1291,394,2.4006,INLAND,76400,2708
36.45,19,1416,469,2.4474,INLAND,75600,2901
36.43,34,683,261,1.7176,INLAND,58400,1426
36.43,23,1146,362,2.8913,INLAND,60900,2178
36.44,18,772,220,2.1771,INLAND,39200,1365
36.34,18,2030,356,2.1153,INLAND,112500,1938
36.16,17,715,146,2.3295,INLAND,55000,758
36.21,12,1708,367,1.5086,INLAND,64700,1818
36.19,12,2809,535,1.4191,INLAND,55100,2482
36.29,11,1376,318,2.4398,INLAND,87500,1749
36.18,29,218,99,2.1458,INLAND,104200,695
36.16,36,310,124,3.0658,INLAND,65000,737
36.14,18,622,217,1.8264,INLAND,62000,1480
36.15,17,1200,420,2.7461,INLAND,70000,2727
36.13,10,1335,493,3.2639,INLAND,86400,3055
36.15,34,868,347,4.381,INLAND,86300,2423
36.16,18,846,272,2.7792,INLAND,85300,1815
36.14,9,1484,541,1.7075,INLAND,60400,3318
36.13,29,1306,415,3.0134,INLAND,55500,2372
36.65,24,514,156,2.25,INLAND,76600,1152
36.65,31,744,223,2.4937,INLAND,66000,1398
36.59,25,613,171,2.3026,INLAND,90600,1146
36.61,29,1408,322,2.293,INLAND,57200,1817
36.6,25,931,214,1.5536,INLAND,58300,1089
36.49,14,1679,345,2.4786,INLAND,56000,1855
36.77,24,1180,267,1.947,INLAND,68900,1647
36.72,18,996,198,2.5,INLAND,112500,1017
36.55,20,1274,241,1.9417,INLAND,38800,1456
36.78,11,2104,486,1.7184,INLAND,55200,2435
36.75,25,1745,457,1.9056,INLAND,60000,2184
36.76,25,941,262,1.8125,INLAND,58000,1263
36.76,12,1043,243,1.4038,INLAND,54300,1176
36.87,20,954,269,1.3386,INLAND,63000,1597
36.86,34,539,182,2.3523,INLAND,66000,846
36.84,29,883,288,2.8182,INLAND,90500,1856
36.85,20,1681,370,2.1759,INLAND,58100,1895
36.86,21,1446,371,2.4414,INLAND,71900,2178
36.97,42,1084,323,2.3295,INLAND,74400,2110
36.84,18,771,174,2.2083,INLAND,55000,1097
36.51,46,26,5,4.125,INLAND,67500,66
36.51,36,28,2,4.625,INLAND,162500,56
39.75,18,1616,588,2.0192,INLAND,63700,3179
39.75,30,1885,774,1.6948,INLAND,67500,4991
39.74,20,337,125,3.0469,INLAND,85000,833
39.74,39,2111,809,2.3507,INLAND,65600,4993
39.79,16,1104,369,3.0469,INLAND,72200,2539
39.78,32,562,203,2.325,INLAND,69600,1509
39.74,20,668,250,2.2569,INLAND,94300,1681
39.7,23,836,297,3.35,INLAND,85400,1965
39.75,16,1031,382,1.9375,INLAND,73100,2422
39.71,16,85,38,1.6607,INLAND,14999,328
39.68,21,510,175,2.3851,INLAND,67500,1365
39.65,33,190,67,3.6429,INLAND,87500,496
39.55,28,673,246,3.25,INLAND,81600,1730
39.5,25,658,211,2.4861,INLAND,71900,1471
39.53,34,1287,505,2.165,INLAND,58700,3212
39.53,22,1647,594,2.3566,INLAND,71000,3923
39.53,8,1237,326,1.3708,INLAND,125000,1604
39.51,17,555,277,2.1,INLAND,66900,1469
39.52,39,1181,437,2.0625,INLAND,63400,3033
39.51,37,1060,424,2.8333,INLAND,69700,2771
39.5,23,261,90,2.1705,INLAND,53000,559
39.72,23,1443,455,2.5625,INLAND,70000,2983
39.6,34,958,322,2.8466,INLAND,95300,2393
39.47,43,512,197,2.4917,INLAND,77100,1535
39.45,39,535,165,1.832,INLAND,70500,1005
39.74,20,1856,495,2.1746,INLAND,58700,2850
40.8,52,392,244,0.957,NEAR OCEAN,60000,977
40.8,52,1150,571,1.7308,NEAR OCEAN,80500,3034
40.79,52,591,284,1.7778,NEAR OCEAN,76900,1541
40.8,52,891,367,1.585,NEAR OCEAN,75500,2025
40.8,52,758,319,1.8529,NEAR OCEAN,62500,1901
40.79,52,975,430,2.2566,NEAR OCEAN,92700,2569
40.78,50,837,353,2.5417,NEAR OCEAN,85400,2688
40.78,39,731,327,1.6369,NEAR OCEAN,68300,1936
40.78,37,640,260,1.8242,NEAR OCEAN,70000,1690
40.79,39,883,337,1.745,NEAR OCEAN,70500,2188
40.79,40,788,279,1.4668,NEAR OCEAN,64600,1709
40.79,43,1169,482,1.9688,NEAR OCEAN,70500,2764
40.78,43,932,395,2.9038,NEAR OCEAN,82000,2687
40.77,35,1053,434,2.8529,NEAR OCEAN,85600,2579
40.77,30,990,359,2.2227,NEAR OCEAN,81300,2261
40.78,37,867,310,2.5536,NEAR OCEAN,70200,1746
40.78,33,656,236,2.5096,NEAR OCEAN,72200,1298
40.78,34,950,317,2.1607,NEAR OCEAN,67000,1956
40.75,13,951,353,4.8516,NEAR OCEAN,116100,2510
40.76,26,992,380,2.8056,NEAR OCEAN,82800,2137
40.77,30,1367,583,2.442,NEAR OCEAN,69000,3609
40.81,50,235,83,1.75,NEAR OCEAN,67500,414
40.8,32,872,306,2.5,NEAR OCEAN,72600,1685
40.8,47,765,329,1.755,NEAR OCEAN,74100,1821
40.8,52,908,451,1.6111,NEAR OCEAN,74700,2647
40.8,52,952,435,1.1386,NEAR OCEAN,74100,2203
40.79,38,873,291,2.4896,NEAR OCEAN,81000,1842
40.78,41,911,349,3.1711,NEAR OCEAN,104200,2485
40.78,46,791,349,3.8,NEAR OCEAN,81800,2321
40.79,46,1206,541,2.1135,NEAR OCEAN,90600,3639
40.79,37,1263,486,3.0216,NEAR OCEAN,86400,3180
40.78,35,982,432,3.4219,NEAR OCEAN,92800,2849
40.77,27,1407,571,2.9143,NEAR OCEAN,99600,3651
40.76,24,1388,512,3.375,NEAR OCEAN,100600,3369
40.78,36,829,368,3.3984,NEAR OCEAN,90000,2486
40.81,23,425,175,2.5536,NEAR OCEAN,96100,1171
40.78,34,1056,382,2.1101,NEAR OCEAN,86900,2562
40.8,31,1259,420,2.2478,NEAR OCEAN,81100,2614
40.79,29,1130,427,2.8833,NEAR OCEAN,83000,2927
40.79,32,855,346,3.5833,NEAR OCEAN,92800,2376
40.85,31,1005,401,3.5156,NEAR OCEAN,143000,2842
40.8,22,1198,442,3.9792,<1H OCEAN,133900,3023
40.86,18,805,502,1.1157,NEAR OCEAN,150000,1771
40.86,25,794,379,1.1742,NEAR OCEAN,75000,1709
40.87,44,398,211,1.1576,NEAR OCEAN,87500,898
40.87,47,796,333,2.2138,NEAR OCEAN,99200,2091
40.87,29,990,425,1.1479,NEAR OCEAN,101100,2179
40.88,50,420,187,2.2188,NEAR OCEAN,105800,1108
40.87,31,780,130,0.7684,NEAR OCEAN,153100,468
40.88,33,1165,441,1.725,NEAR OCEAN,57500,2741
40.88,35,1581,585,2.0657,NEAR OCEAN,81100,3565
40.88,31,1052,467,1.5326,NEAR OCEAN,74100,2477
40.88,26,1353,526,2.4321,NEAR OCEAN,82100,3238
40.9,18,1948,775,2.7321,NEAR OCEAN,92600,4830
40.81,52,544,172,3.3462,NEAR OCEAN,50800,1321
40.88,12,1603,438,2.5667,NEAR OCEAN,139500,2511
40.66,25,983,375,3.0469,<1H OCEAN,136000,2826
40.91,13,1381,628,1.6667,NEAR OCEAN,78800,3241
41.03,24,1058,414,2.0644,<1H OCEAN,79800,2951
41.32,31,425,157,1.0486,<1H OCEAN,36700,1176
41.09,19,1166,363,1.8208,<1H OCEAN,50000,2401
41.11,19,1033,327,1.4911,<1H OCEAN,59200,2181
41.3,22,686,264,1.8065,<1H OCEAN,62700,1952
41.01,17,517,222,2.1542,INLAND,83800,1909
41.36,29,509,196,2.0156,NEAR OCEAN,62800,1268
41.13,22,1384,578,2.4708,NEAR OCEAN,119400,4062
41.06,32,421,198,3.0208,NEAR OCEAN,143400,1235
41.04,26,890,370,1.9741,NEAR OCEAN,97900,2013
40.97,21,943,301,3.538,<1H OCEAN,102700,1832
40.89,28,811,314,2.4559,<1H OCEAN,75600,1806
40.88,41,844,336,2.6923,<1H OCEAN,84200,2091
40.93,28,519,220,3.2891,<1H OCEAN,106300,1531
41.02,23,1060,390,2.1726,NEAR OCEAN,75500,2057
40.99,18,1554,578,2.6847,NEAR OCEAN,111300,3959
40.95,20,529,196,3.1406,NEAR OCEAN,96000,1289
40.95,19,866,342,2.96,NEAR OCEAN,81700,2099
40.95,18,1248,472,2.5893,NEAR OCEAN,99600,2734
40.93,25,1298,461,3.5076,NEAR OCEAN,73600,2866
40.93,17,948,357,2.7639,NEAR OCEAN,90200,1990
40.94,18,941,335,2.3147,NEAR OCEAN,70100,1895
40.92,12,1153,462,2.8182,NEAR OCEAN,126900,2988
40.94,14,516,181,5.0329,NEAR OCEAN,165600,1669
